Program,Discipline,SUBJ,CRSE_NUMB,CRS ID,CRS TITLE,CSLO
Communication Studies,Digital Media Communication,DMC,C160,DMC C160,Social Media Strategies,Analyze the role of social media in organizational communication and marketing strategies.   Create compelling content tailored to specific social media platforms and target audiences.   Evaluate the effectiveness of social media campaigns using analytics
Communication Studies,Digital Media Communication,DMC,C161,DMC C161,Writing for Social Media,Identify the unique features and audiences of various social media platforms.   Create engaging and tailored content for different social media channels.   Incorporate multimedia elements into social media posts to enhance storytelling.   Develop a cohesi
Communication Studies,Digital Media Communication,DMC,C162,DMC C162,Social Media and Mobile Journa,"Describe the impact of social media and mobile technology on contemporary journalism practices.   Demonstrate technical skills in mobile reporting, including video production, photography, and audio editing.   Analyze ethical dilemmas in digital journalis"
English as a Second Language,English Language Learning,ELL,C020N,ELL C020N,Integrated English Skills 1A,"Correctly follow written or auditory 3-step directions.  Compose grammatically correct sentences in the present, present progressive, and past tense."
English as a Second Language,English Language Learning,ELL,C024N,ELL C024N,English Idioms - Beginning,Use American English idioms appropriately in casual conversations.  Use American English idioms appropriately in writing.
English as a Second Language,English Language Learning,ELL,C025N,ELL C025N,Pronunciation Skills - Beg.,"Demonstrate correct pronunciation of targeted English phonemes.  Demonstrate basic proficiency in using correct English language stress, pitch, and intonation patterns."
English as a Second Language,English Language Learning,ELL,C028N,ELL C028N,ELL for Citizenship 1,"Respond correctly and appropriately to simple spoken commands in English.  Write grammatically correct and appropriate sentences to respond to simple, written questions about U.S. geography, government, and history."
English as a Second Language,English Language Learning,ELL,C030N,ELL C030N,Integrated English Skills 1B,"Correctly identify the main idea and supporting details and develop grammatically correct responses to content questions about an assigned paragraph.  In a spontaneous conversation on an assigned topic, ask and answer questions correctly and appropriately"
English as a Second Language,English Language Learning,ELL,C038N,ELL C038N,ELL for Citizenship 2,"Given a listening prompt, respond correctly and appropriately to questions about an N400 application in English.   Given a listening prompt, respond verbally or in writing to questions about U.S. geography, government, and history."
English as a Second Language,English Language Learning,ELL,C040N,ELL C040N,Integrated English Skills 2A,"Express original ideas in appropriate, grammatically-correct sentences in response to level-appropriate readings in academic and real-world settings.  Participate in short conversations and accurately report information given by others."
English as a Second Language,English Language Learning,ELL,C081N,ELL C081N,Grammar Sent Stru High-Int-Adv,"Demonstrate grammar, sentence structure, punctuation, capitalization, spelling, and syntax proficiency in sentence writing.  Combine ideas in a variety of ways to produce clear and concise simple, compound, and compound-complex sentences following convent"
English as a Second Language,English Language Learning,ELL,C083N,ELL C083N,Speak/Listen-High Inter/Adv,"Participate in discussions by asking and answering appropriate questions.  Take notes while listening to lectures, dialogues, and narratives.  Develop proficiency in pronouncing phonemes and using correct English language stress, pitch, and intonation pat"
English as a Second Language,English Language Learning,ELL,C084N,ELL C084N,"Engl Idioms, Expr-Hi Inter/Adv","Recognize and use the most common English idioms and expressions appropriately.  Pronounce high-frequency English idioms and expressions using appropriate intonation, stress, pitch, and reductions.  Demonstrate knowledge of grammar associated with common "
English as a Second Language,English Language Learning,ELL,C085N,ELL C085N,Pronunciation Skills - Int/Adv,"Demonstrate accuracy in correct pronunciation of targeted English phonemes.  Exhibit correct English language stress, pitch, and intonation patterns.  Demonstrate correct pronunciation of final consonants, including pluralization, possessives, and tense m"
International Languages,Italian,ITAL,C001N,ITAL C001N,Italian for Tourism,Speak and understand basic conversational Italian through active use of the language for tourism and hospitality.  Recognize and compare important features of Italian society.
International Languages,Italian,ITAL,C180,ITAL C180,Elementary Italian 1,Demonstrate oral/aural or written competency in Italian at the elementary level.  Demonstrate an awareness of significant differences in culture-specific behaviors between the cultures of the Italian-speaking world and the United States.
International Languages,Italian,ITAL,C185,ITAL C185,Elementary Italian 2,Demonstrate awareness of significant differences in culture-specific behaviors between the cultures of the Italian-speaking world and the United States.  Demonstrate oral/aural and written competency in Italian at the advanced elementary level.
Social Sciences,Political Science,POLS,C180,POLS C180,American Government & Politics,"Utilize political science theory and terminology to analyze how the national government of the United States and California state and local governments distribute political power, make laws and policies, and enforce or carry out these laws and policies.  "
Mathematics,Statitsics,STAT,C160,STAT C160,Introduction to Statistics,"Collect, analyze, and draw conclusions from data.   Interpret information from graphs and summarize statistics.   Demonstrate the ability to use hypothesis tests."
Accounting,Accounting,ACCT,C011N,ACCT C011N,ACCT for Business Employees NC,Demonstrate financial competency and accounting knowledge as a non-financial manager and/or entrepreneur.
Accounting,Accounting,ACCT,C100,ACCT C100,Intro to Accounting,"Complete an accounting cycle for sole proprietorship according to Generally Accepted Accounting Principles (GAAP).  Analyze and record in applicable journals, post to a general ledger, and prepare financial statements: Statement of Income, Statement of Ow"
Accounting,Accounting,ACCT,C101,ACCT C101,Financial Accounting,"Identify accounting elements of service and merchandising business transactions in terms of the accounting equation.  Analyze, record in applicable journals, and subsequently post to a general ledger and prepare financial statements: Statement of Income, "
Accounting,Accounting,ACCT,C102,ACCT C102,Managerial Accounting,"Design, analyze and interpret accounting information for planning and for making business decisions.  Utilize and evaluate information and reports used by management to plan, direct, and control manufacturing processes for various business costing models."
Accounting,Accounting,ACCT,C103,ACCT C103,Fed & CA Individual Tax Prep,Identify and apply the individual taxation framework to make appropriate and ethical tax decisions.  Utilize commercial tax preparation software to prepare Federal and California income tax returns.
Accounting,Accounting,ACCT,C104,ACCT C104,Business Taxation,"Perform tax research, interpret tax case and tax codified law, prioritize tax authority, and implement tax planning strategies of various business entities.  Research, analyze, and communicate the tax repercussions to stakeholders of different entities."
Accounting,Accounting,ACCT,C106,ACCT C106,Excel for Accounting,"Interpret and implement general computerized Accounting principles and practices.  Utilize Excel features to generate formulas functions, and commands to construct accounting related spreadsheets."
Accounting,Accounting,ACCT,C107,ACCT C107,Accounting with QuickBooks,Demonstrate processing of basic business transactions using QuickBooks (online or desktop) accounting software for a service and merchandising business.  Prepare basic reports for a merchandising or service business using QuickBooks.
Accounting,Accounting,ACCT,C108,ACCT C108,Tax Return Prep Turbo Tax,"Identify tax issues for individual tax returns in regard to the Federal 1040 forms.  Record tax results in applicable worksheets, schedules, and forms in order to prepare the federal 1040 Income Tax Return with particular emphasis on schedules A, C, D, an"
Accounting,Accounting,ACCT,C111,ACCT C111,Advanced QuickBooks,Apply advanced features using QuickBooks accounting software.  Prepare customized reports and graphs for a merchandising or service business using QuickBooks.  Create a budget proposal using QuickBooks.  Import and export files and data using QuickBooks.
Accounting,Accounting,ACCT,C112,ACCT C112,Intermediate Accounting 1,Identify the major financial statements and describe the basic elements of each financial statement.  Implement generally accepted accounting policies and relate the different valuation methods for inventory and the accounting cycle.  Prepare an income st
Accounting,Accounting,ACCT,C113,ACCT C113,Intermediate Accounting 2,"Explain proper treatment of long-lived assets, including depreciation and amortization.  Account for Liabilities and Equity."
Accounting,Accounting,ACCT,C114,ACCT C114,Intermediate Accounting 3,Apply key concepts of Generally Accepted Accounting Principles (G.A.A.P.)  Prepare and use Statement of Cash Flows.
Accounting,Accounting,ACCT,C116,ACCT C116,ACCT for Managers/Entrepreneur,"Explain basic accounting, finance, and economics terminology and financial reporting.  Analyze financial statements and make operational decisions and recommendations within an ethical framework by using both qualitative and quantitative measures.  Combin"
Accounting,Accounting,ACCT,C118,ACCT C118,Fundamentals of Auditing,"Given a factual situation, analyze and solve specific auditing problems.  Assess internal control procedures, prepare analyses of the procedures, and express opinions as to the effectiveness of the controls."
Accounting,Accounting,ACCT,C120,ACCT C120,Advanced Accounting,Prepare consolidating entries for separate entities.  Compute the capital allocated to a new partner under the bonus and goodwill methods.
Accounting,Accounting,ACCT,C130,ACCT C130,VITA 1 Tax,Demonstrate knowledge of State and Federal tax regulations.
Accounting,Accounting,ACCT,C131,ACCT C131,VITA 2 Tax,Accurately complete personal income tax returns.  Conduct a Quality Review of completed personal income tax returns.  Apply customer service strategies to VITA Site patrons.
Accounting,Accounting,ACCT,C281,ACCT C281,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Accounting,Accounting,ACCT,C282,ACCT C282,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Accounting,Accounting,ACCT,C283,ACCT C283,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Accounting,Accounting,ACCT,C284,ACCT C284,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Biological Sciences and Allied Health,Biology,BIOL,C100,BIOL C100,Introduction to Biology,"Compare and contrast the cell structures and functions observed in the domains of life.  Compare and contrast anatomical, physiological, and ecological characteristics of the major taxonomic groups.  Describe how natural selection and mutation drive evolu"
Biological Sciences and Allied Health,Biology,BIOL,C100C,BIOL C100C,Intro to Biology Lecture/Lab,"Compare and contrast the cell structures and functions observed in the domains of life.  Compare and contrast anatomical, physiological, and ecological characteristics of the major taxonomic groups.  Describe how natural selection and mutation drive evolu"
Biological Sciences and Allied Health,Biology,BIOL,C100L,BIOL C100L,Introduction to Biology Lab,Apply the scientific method as a problem-solving tool.  Identify organisms in the major biological kingdoms  Explain mechanisms of evolution.
Biological Sciences and Allied Health,Biology,BIOL,C102,BIOL C102,Concepts: Anatomy & Physiology,Correlate the structure of specific organs to their functions and the way those organs work to maintain homeostasis.  Identify organs of each body system and describe how they work together to perform the functions of that system. 
Biological Sciences and Allied Health,Biology,BIOL,C103,BIOL C103,Introduction to Marine Science,"Examine and describe the special nature of the earth as a water planet, the origins of its oceans, and its capacity to support life.  Explain current theories concerning the origin and evolution of life in the oceans of planet earth.  Identify and explain"
Biological Sciences and Allied Health,Biology,BIOL,C104,BIOL C104,Medical Term for Hlth Prof,"Identify and interpret different prefixes, suffixes, and word roots used in the language of Medicine.  Analyze medical terms and break them down to their original components and describe their meaning.  Formulate and construct medical terms using the thre"
Biological Sciences and Allied Health,Biology,BIOL,C106,BIOL C106,Human Ecology,Describe major biological and physical components of the environment.  Discuss the implications of global climate change and its anthropogenic causes.  Evaluate anthropogenic impact on natural ecosystems and resources.
Biological Sciences and Allied Health,Biology,BIOL,C109,BIOL C109,Career Choices in Healthcare,Describe different health care career opportunities available.
Biological Sciences and Allied Health,Biology,BIOL,C120,BIOL C120,Biology of Aging,Interpret and apply major biological theories and principles of aging to determine their impact and implication on the individual and society as a whole.  Communicate normal and abnormal changes that accompany aging as well as the ability to adapt.  Inves
Biological Sciences and Allied Health,Biology,BIOL,C122,BIOL C122,Bioethics,"Identify the ethical issues involved and analyze those issues from multiple perspectives based on generally accepted ethical and moral standards.  Evaluate, examine, and analyze the ethical standards applied to decision-making."
Biological Sciences and Allied Health,Biology,BIOL,C180,BIOL C180,Cell and Molecular Biology,"Describe the nature of biological molecules, cell structures, and principal cellular/molecular processes found in cells including metabolism, reproduction, communication, and transmission of genetic information.  Demonstrate the ability to formulate hypot"
Biological Sciences and Allied Health,Biology,BIOL,C185,BIOL C185,Diversity of Organisms,"Compare and contrast anatomy, physiology, life cycles, metabolic pathways, and development of major taxa of organisms from Domains Archaea and Bacteria, and supergroups of eukaryotes that classify protists fungi, plants, and animals based on key character"
Biological Sciences and Allied Health,Biology,BIOL,C200,BIOL C200,Pharmacology,"Describe in detail basic principles of pharmacology including pharmacokinetics.  Examine in detail scientific classifications of drugs and analyze the basis for rational therapeutics.  Identify typical drugs applied to common pathologies, body system diso"
Biological Sciences and Allied Health,Biology,BIOL,C210,BIOL C210,General Microbiology,"Present current knowledge on a reportable communicable disease in the U.S.  Demonstrate fundamental understanding of microbial characteristics, metabolism and genetics.  Describe microbe-human interactions and explain how these interactions can be either "
Biological Sciences and Allied Health,Biology,BIOL,C220,BIOL C220,Human Anatomy,"Analyze anatomic systems, spatial relationships, and system interactions.  Follow appropriate laboratory etiquette and laboratory technique (including effective dissection and use of the compound light microscope)."
Biological Sciences and Allied Health,Biology,BIOL,C221,BIOL C221,Intro Anatomy and Physiology,Identify organs of each body system and describe how they work together to perform the functions of that system.  Correlate the structure of specific organs to their functions and the way that organ works to maintain homeostasis.
Biological Sciences and Allied Health,Biology,BIOL,C225,BIOL C225,Human Physiology,"Given a specific body organ, correlate the structure of this organ to its function and outline the role of this specific organ in maintaining homeostasis.  Given a series of scenarios, compare and contrast normal physiological processes and abnormal patho"
Biological Sciences and Allied Health,Biology,BIOL,C226,BIOL C226,Pathophysiology,"Given a series of scenarios, compare and contrast normal physiological processes and abnormal pathological conditions.  Describe how disease processes interfere with normal homeostasis in organ systems."
Biological Sciences and Allied Health,Biology,BIOL,C281,BIOL C281,Biochemistry,"Describe the fundamental chemical principles and reactions involved in biochemical processes and explain the structure, function, and regulation of metabolic pathways.  Read, evaluate, cite, and explain biochemistry-related developments published in peer-"
Biological Sciences and Allied Health,Biology,BIOL,C283,BIOL C283,Genetics,"Utilize concepts in Mendelian genetics to analyze data and solve common problems in transmission genetics.  Describe the principal structures, organization and molecular mechanisms involved in the transmission of genetic information and how DNA mutations "
Biological Sciences and Allied Health,Biology,BIOL,C291A,BIOL C291A,Work Experience Education,"Evaluate education and career pathways in STEM fields.   Demonstrate laboratory and research skills in STEM fields and careers.   Develop new biology-related activities, such as new lab exercises or acquisition of novel data that may be used for scholarly"
Biological Sciences and Allied Health,Biology,BIOL,C292A,BIOL C292A,Work Experience Education,"Evaluate education and career pathways in STEM fields.   Demonstrate laboratory and research skills in STEM fields and careers.    Develop new biology-related activities, such as new lab exercises or acquisition of novel data that may be used for scholarl"
Biological Sciences and Allied Health,Biology,BIOL,C296,BIOL C296,Advanced Anatomical Dissection,Display safe and efficient dissecting techniques.  Describe the ethical practices required in human cadaver dissection.
Biological Sciences and Allied Health,Biology,BIOL,C297,BIOL C297,Advanced Anatomical Dissect 2,Display safe and efficient dissecting techniques.  Describe the ethical practices required in human cadaver dissection.
Biological Sciences and Allied Health,Biology,BIOL,C299,BIOL C299,Research & Experimental Design,"Critically evaluate existing literature and effectively communicate findings.   Demonstrate the ability to formulate hypotheses, design reports to experiments, analyze data, and form conclusions."
Biological Sciences and Allied Health,Biology,BIOL,C299L,BIOL C299L,Research Skills Laboratory,"Demonstrate the ability to formulate hypotheses, design reports to experiments, analyze data, and form conclusions."
Biological Sciences and Allied Health,Ecology,ECOL,C100,ECOL C100,Human Ecology,Describe major biological and physical components of the environment.  Discuss the implications of global climate change and its anthropogenic causes.  Evaluate anthropogenic impact on natural ecosystems and resources.
Biological Sciences and Allied Health,Environmental Studies,ENVS,C100,ENVS C100,Intro to Environmental Sci,Demonstrate scientific literacy and ability to engage in scientific inquiry concerning environmental issues.  Develop possible solutions for current environmental issues.  Demonstrate social responsibility by using critical thinking skills.
Biological Sciences and Allied Health,Marine Science,MRSC,C100,MRSC C100,Introduction to Marine Science,"Examine and describe the special nature of the earth as a water planet, the origins of its oceans, and its capacity to support life.  Explain current theories concerning the origin and evolution of life in the oceans of planet earth.  Identify and explain"
Building Codes Inspector,Building Codes Inspector,BCT,C281,BCT C281,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Building Codes Inspector,Building Codes Inspector,BCT,C282,BCT C282,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Building Codes Inspector,Building Codes Inspector,BCT,C283,BCT C283,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Building Codes Inspector,Building Codes Inspector,BCT,C284,BCT C284,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Business and Management,Business,BUS,C100,BUS C100,Introduction to Business,"Evaluate the corporate social responsibility of firm, a corporate scenario, or a business in a case study.   Analyze the target market and marketing mix of a product or product line, a product scenario, or product in a case study.   Analyze and explain el"
Business and Management,Business,BUS,C101,BUS C101,Intro to Project Management,"Differentiate and apply key project management terms, concepts, tools, and techniques to use in managing projects.  Compare and contrast project issues and risks in order to implement appropriate issue resolutions and risk responses.  Develop a project sc"
Business and Management,Business,BUS,C110,BUS C110,Bus Law/Legal Environment,Compare and contrast the differences between the federal and state court systems and between a civil lawsuit and a criminal prosecution.  Recognize and analyze the basic elements of a contract and differentiate remedies for breach of contract; determine w
Business and Management,Business,BUS,C118,BUS C118,Intro International Business,Analyze and evaluate factors influencing how business is conducted in non-US countries.
Business and Management,Business,BUS,C120,BUS C120,Personal Finance,"Devise a set of financial goals in areas such as spending/budgeting, tax planning, savings/investing, use of credit, etc.   Develop a monthly budget, compare actual expenditures to the budget, and analyze the discrepancies.   Compare and contrast various "
Business and Management,Business,BUS,C139,BUS C139,Business Communication,"Create a targeted cover letter or email and resume for a specific job posting using clear, concise, and grammatically correct professional language.  Produce a business-related analytical report, which includes an executive summary, documented sources, an"
Business and Management,Business,BUS,C141,BUS C141,Intro to Entrepreneurship,"Describe the elements of the entrepreneurial process, including relevant business terminology.  Analyze and define current and future markets to generate a needs assessment.  Develop and present a business plan summary."
Business and Management,Business,BUS,C142,BUS C142,Entrepreneurial Mktg and Ops,"Describe the key components of small business management, marketing, and operations, including relevant business terminology.  Identify and quantify a target market and develop marketing plans and campaigns.  Compose an operational plan for a business."
Business and Management,Business,BUS,C143,BUS C143,Entrepreneurial Fin Strategies,"Describe the various sources of financial funding for small businesses.  Read, understand, analyze, and draft pro-forma financial statements: balance sheet, profit and loss statement, and start-up cost estimates.  Perform a breakeven analysis, considering"
Business and Management,Business,BUS,C150,BUS C150,Introduction to Marketing,"Devise a target market analysis describing the target market for a product, service, or business using geographic, demographic, psychographic, and behavioral segmentation variables.  Design an integrated and coordinated marketing mix strategy for a produc"
Business and Management,Business,BUS,C281,BUS C281,Work Experience Education,"Consistently achieve high levels of productivity by maintaining sustained motivation and focus on tasks and long-term goals.   Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Business and Management,Business,BUS,C282,BUS C282,Work Experience Education,"Consistently achieve high levels of productivity by maintaining sustained motivation and focus on tasks and long-term goals.   Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Business and Management,Business,BUS,C283,BUS C283,Work Experience Education,"Consistently achieve high levels of productivity by maintaining sustained motivation and focus on tasks and long-term goals.   Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Business and Management,Business,BUS,C284,BUS C284,Work Experience Education,"Consistently achieve high levels of productivity by maintaining sustained motivation and focus on tasks and long-term goals.   Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Business and Management,Management,MGMT,C100,MGMT C100,Principles of Management,"Compare and contrast different approaches to solve leadership challenges, demonstrating an understanding of current management terms, concepts, and/or communication strategies.  Describe the key management function of organizing by recommending organizati"
Business and Management,Management,MGMT,C111,MGMT C111,Human Resource Management,"Compare and contrast Human Resource Management and its role and importance to organizations with respect to individual staff relations, retention, and diversity.  Correlate the importance of developing Human Resources and human capital to organizational s"
Business and Management,Management,MGMT,C115,MGMT C115,Human Relations in Business,"Using organizational behavior theories, develop action plans to develop and maintain relationships for various organizational scenarios.   Develop a personal brand strategy based on a self-assessment for in-person and online networking opportunities.   De"
Business and Management,Management,MGMT,C144,MGMT C144,Introduction to Leadership,"Evaluate your own emotional intelligence, identifying your strengths, weaknesses, self-regulation skills, and empathy quotient.   Plan and execute both formal and informal meetings including designing agendas.   Identify one or more ethical dilemmas in a "
Business and Management,Management,MGMT,C160,MGMT C160,Foodservice Management,Develop management processes related to food production.  Formulate budget and business costing processes in food service management systems.
Business and Management,Management,MGMT,C161,MGMT C161,Health Care Management,"Identify the major functions and responsibilities of a health care manager and apply the knowledge to real life experience in the health care arena.  Given a specific real life health care scenario, analyze the data and formulate a plan to deal with diffe"
Business and Management,Management,MGMT,C171,MGMT C171,Supply Chain Mgmt Fundamentals,Discuss the processes and functions in a supply chain.  Describe the key supply chain processes and functions for a given industry.  Explain how supply chains must be integral to an organization's strategic goals.
Business and Management,Management,MGMT,C172,MGMT C172,Warehousing Operations,Explain the purpose of a warehouse.  Define the functions that occur in a warehouse.  Understand value-added operations in a warehouse.
Communication Studies,Communication Studies,CMST,C060N,CMST C060N,Introduction to eSports,Describe the characteristics of effective Esports communication strategies.  Describe the functional methodologies of communication and their role in competitive gaming and the Esports ecosystem.  Analyze and adapt to the structure and audiences in compet
Communication Studies,Communication Studies,CMST,C100,CMST C100,Interpersonal Communication,"Examine and describe his or her self-concept and evaluate the impact on interpersonal relationships.  Apply verbal and non-verbal communication skills effectively in social and cultural realities.  Identify, diagnose, and manage conflict in interpersonal "
Communication Studies,Communication Studies,CMST,C101,CMST C101,Fund of Human Communication,"Create a formal, full-sentence outline for both informative and persuasive extemporaneous speeches, tailored to the demographics of a specific audience, in preparation for faculty-supervised and evaluated presentations delivered to a live (physical or vir"
Communication Studies,Communication Studies,CMST,C140,CMST C140,Small Group Communication,"Effectively employ problem-solving and group decision-making strategies in small group contexts.  Demonstrate ability to prepare for, conduct, and participate in small group meetings.  Create and deliver a presentation within a group context and as part o"
Communication Studies,Communication Studies,CMST,C150,CMST C150,Intercultural Communication,"Identify and evaluate cultural biases and apply effective intercultural communication skills to devise strategies to manage these problems.  Identify and evaluate the cultural beliefs, values, and norms of a given culture and the impact of those component"
Communication Studies,Communication Studies,CMST,C200,CMST C200,Public Communication,"Given the demographics of a particular audience, create a formal, full-sentence outline that structures both informative and persuasive extemporaneous public address.  Given the demographics of a particular audience, orally deliver informative speeches an"
Communication Studies,Communication Studies,CMST,C220,CMST C220,Essentials of Argumentation,"Demonstrate appropriate skills in researching, constructing, and supporting propositions of fact, value and policy using well thought out reasoning and a variety of appropriate credible evidence.  Demonstrate ability to engage in appropriate reasoned and "
Communication Studies,Mass Communications,MCOM,C140,MCOM C140,Public Relations,"Describe the history and practice of public relations, including important case studies.  Apply the standard processes of the practice of public relations.  Describe the laws that govern the practice of public relations."
Communication Studies,Mass Communications,MCOM,C150,MCOM C150,"Intro to Radio, TV, Film","Have the ability to evaluate radio, TV, and film material to utilize in making decisions on viewing program content.  Explain the legal aspects of communications law, which will give a broad insight into protecting themselves from possible litigation.  Ev"
Computer and Cyber Sciences,Business Computing,BC,C011N,BC C011N,Intro to Windows OS (NC),"Based on a typical business scenario, use Microsoft Windows to organize, retrieve, and manipulate digital data stored on a computer."
Computer and Cyber Sciences,Business Computing,BC,C012N,BC C012N,Keyboarding Basics (Noncredit),"Using the touch-type method of keyboarding, with appropriate techniques, type at least 38 words per minute proficiently."
Computer and Cyber Sciences,Business Computing,BC,C013N,BC C013N,Keyboard/Doc Formatting (NC),"Using the touch-type method of keyboarding, with appropriate techniques, type at least 48 words per minute proficiently."
Computer and Cyber Sciences,Business Computing,BC,C014N,BC C014N,Customer Service Skills (NC),"Given a business scenario, using current technology, develop a customer-service strategy that enhances the customer experience and meets employer requirements."
Computer and Cyber Sciences,Business Computing,BC,C107A,BC C107A,Keyboarding,"Using the touch-type method of keyboarding, with appropriate techniques, type at least 38 words per minute proficiently."
Computer and Cyber Sciences,Business Computing,BC,C107B,BC C107B,Keyboarding and Formatting,"Using the touch-type method of keyboarding, with appropriate techniques, type at least 48 words per minute proficiently."
Computer and Cyber Sciences,Business Computing,BC,C145,BC C145,Medical Adm Asst 1,"Using the most current software, complete medical forms and construct, edit, and format medical documents or forms to acceptable professional standards.  Identify and demonstrate interpersonal skills, professional behaviors, and vocabulary used by success"
Computer and Cyber Sciences,Business Computing,BC,C161,BC C161,HIT Medical Coding 1,"Correctly use CPT, ICD-9-CM, ICD-10-CM, and HCPCS Level II codes, including procedures, facility, and diagnoses codes, for medical billing purposes.  Demonstrate the ability to code various procedures and services used for each of the body systems.  Demon"
Computer and Cyber Sciences,Business Computing,BC,C162,BC C162,HIT Medical Coding 2,Apply correct CPT codes to create complex medical insurance claim forms used in a medical facility.  Analyze a complex medical billing situation and integrate the appropriate data from patient files and physician notes to complete a professional accounts 
Computer and Cyber Sciences,Business Computing,BC,C163,BC C163,HIT Medical Terminology,Analyze specific medical terminology to create medical records or insurance claim forms used in medical facilities.
Computer and Cyber Sciences,Business Computing,BC,C284,BC C284,Work Based Learning,"Apply and build on theoretical and practical education in the performance of work tasks in chosen field.  Based on self-evaluation and supervisor feedback, develop appropriate professional development and career advancement goals."
Computer and Cyber Sciences,Computer Information Systems,CIS,C100,CIS C100,Intro to Info Systems,"Given a scenario, identify the impact (both negative and positive) of information technology on the individual and society.  Given a scenario, identify types of computer security risks and issues surrounding information privacy, crime, and ethics.  Demons"
Computer and Cyber Sciences,Computer Information Systems,CIS,C105,CIS C105,Intro to Office Tech,Demonstrate the use of business applications to complete a given business task.  Analyze provided data to develop a report given a business scenario.  Operate remote conferencing software to give a presentation.
