Program,PSLO ID,PSLO,Course
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C283
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C284
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",BUS C100
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",BUS C120
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ENGL C103
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C118
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",MS C100
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",MS C171
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",SM C101
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",MS C172
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",SM C102
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C100
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",ENGL C136
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C281
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C282
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C283
"Global Business, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",BUS C284
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,HLTH C121
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MGMT C161
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,LAW C126
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MS C100
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MGMT C100
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MS C101
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MGMT C101
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MS C104
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MGMT C111
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,ACCT C100
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,ACCT C116
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BC C145
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BIOL C102
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BIOL C221
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BIOL C104
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C100
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C281
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C282
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C283
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C284
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,CIS C100
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,ECON C170
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MATH C160
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MS C102
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,MGMT C115
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BIOL C200
"Health Care Management, Certificate of Achievement",PSLO 1,Apply the principles and legal regulations of healthcare management to real-world situations. PSLO 2: Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting. PSLO 3: Develop a,BUS C007
"Human Resources Management, Certificate of Achievement",PSLO 1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in today’s multicultural, team-oriented, rapidly-changing global environment. PSLO 2: Analyze and recommend effective busin",
"Information and Computer Sciences, Certificate of Achievement",PSLO 1,"Demonstrate proficiency in various programming languages, software development methodologies, and technology tools commonly used in the field of computer science. PSLO 2: Demonstrate knowledge of information systems concepts, including the design",
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C104
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C110
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C128
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C158
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CYBR C101
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CIS C157
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C172
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C177A
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C177B
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C191A
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C198
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C201D
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C202D
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C203D
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C248B
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C264
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C274
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C275
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C295
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C296
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CST C297
"Information Technology, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",CIS C260
"IT Foundation, Certificate of Achievement",PSLO 1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software. PSLO 2: Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable so,CST C104
"IT Foundation, Certificate of Achievement",PSLO 1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software. PSLO 2: Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable so,CST C110
"IT Foundation, Certificate of Achievement",PSLO 1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software. PSLO 2: Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable so,CST C128
"IT Foundation, Certificate of Achievement",PSLO 1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software. PSLO 2: Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable so,CST C198
"IT Foundation, Certificate of Achievement",PSLO 1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software. PSLO 2: Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable so,CYBR C101
"IT Support Specialist, Certificate of Achievement",PSLO 1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions. PSLO 2: Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems. PSLO 3: D",
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ENGL C136
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C110
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MGMT C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MGMT C115
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C102
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MGMT C111
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C104
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ACCT C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ACCT C101
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ACCT C102
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C101
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C118
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C120
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C150
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C142
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CIS C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CIS C111
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CYBR C101
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CMST C100
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CMST C110
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",CMST C150
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ECON C170
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ECON C175
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",PHIL C140
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C281
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C282
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C283
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C284
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",ACCT C116
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C130
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",BUS C222
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C101
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C144
"Management, Certificate of Achievement",PSLO 1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, e",MS C283
